player_id,player_name_ko,player_name_en_full,nationality,club_name_ko,preferred_foot,height_cm,weight_kg,birth_year
61616.0,김동민,,,,,,,
61623.0,정동윤,,,,,,,
61626.0,김보섭,,,,,,,
61645.0,무고사,,,,,,,
61913.0,김진수,,,,,,,
61921.0,최철순,,,,,,,
61922.0,홍정호,,,,,,,
61932.0,한교원,,,,,,,
61968.0,진성욱,,,,,,,
61979.0,이명재,,,,,,,
61981.0,임종은,,,,,,,
62009.0,박동진,,,,,,,
62013.0,윤종규,,,,,,,
62015.0,황현수,,,,,,,
62038.0,조영욱,,,,,,,
62054.0,강지훈,,,,,,,
62069.0,한국영,,,,,,,
62082.0,최영은,,,,,,,
62086.0,김진혁,,,,,,,
62098.0,고재현,,,,,,,
62105.0,장성원,,,,,,,
62112.0,세징야,,,,,,,
62114.0,에드가,,,,,,,
62119.0,정치인,,,,,,,
62365.0,안영규,,,,,,,
62367.0,이으뜸,,,,,,,
62386.0,두현석,,,,,,,
62633.0,강윤성,,,,,,,
73228.0,서진수,,,,,,,
77414.0,이희균,,,,,,,
77520.0,문선민,,,,,,,
77545.0,이동경,,,,,,,
77574.0,지언학,,,,,,,
77579.0,김주성,,,,,,,
77582.0,백종범,,,,,,,
77711.0,안병준,,,,,,,
77715.0,김주엽,,,,,,,
77828.0,전민광,,,,,,,
77845.0,완델손,,,,,,,
82938.0,주민규,,,,,,,
83615.0,윤석영,,,,,,,
85175.0,이광연,,,,,,,
97086.0,허용준,,,,,,,
103630.0,김정훈,,,,,,,
109160.0,김도혁,,,,,,,
139210.0,김진야,,,,,,,
142106.0,설영우,,,,,,,
142109.0,조현우,,,,,,,
142111.0,원두재,,,,,,,
142258.0,황인재,,,,,,,
143410.0,한승규,,,,,,,
143588.0,최규백,,,,,,,
144570.0,김민준,,,,,,,
145673.0,김영빈,,,,,,,
145701.0,이민기,,,,,,,
145703.0,허율,,,,,,,
145716.0,안창민,,,,,,,
145831.0,정운,,,,,,,
146168.0,구자룡,,,,,,,
146174.0,이수빈,,,,,,,
146183.0,김민석,,,,,,,
146185.0,김연수,,,,,,,
146188.0,김준엽,,,,,,,
146189.0,문지환,,,,,,,
146190.0,송시우,,,,,,,
146194.0,이종욱,,,,,,,
150850.0,김기희,,,,,,,
150851.0,이청용,,,,,,,
161110.0,기성용,,,,,,,
161122.0,오반석,,,,,,,
181858.0,이준서,,,,,,,
181865.0,신상은,,,,,,,
187253.0,김동현,,,,,,,
187259.0,황문기,,,,,,,
187277.0,이용래,,,,,,,
187292.0,김지현,,,,,,,
187313.0,송주훈,,,,,,,
187316.0,신광훈,,,,,,,
187326.0,팔로세비치,,,,,,,
187341.0,이현식,,,,,,,
187343.0,임덕근,,,,,,,
187722.0,김대우,,,,,,,
187794.0,송준석,,,,,,,
188178.0,엄지성,,,,,,,
188183.0,정동호,,,,,,,
188185.0,곽윤호,,,,,,,
188233.0,이지훈,,,,,,,
188258.0,백상훈,,,,,,,
188266.0,강성진,,,,,,,
188267.0,이태석,,,,,,,
188332.0,강윤구,,,,,,,
188342.0,이호재,,,,,,,
188346.0,김륜성,,,,,,,
188348.0,김준호,,,,,,,
188514.0,델브리지,,,,,,,
193858.0,민성준,,,,,,,
213491.0,마사,,,,,,,
215699.0,잭슨,,,,,,,
215806.0,윤일록,,,,,,,
215807.0,공민현,,,,,,,
215816.0,홍준호,,,,,,,
215818.0,송민규,,,,,,,
222332.0,김준홍,,,,,,,
246402.0,박진섭,,,,,,,
246403.0,맹성웅,,,,,,,
246409.0,이준호,,,,,,,
246410.0,박창우,,,,,,,
247324.0,최성민,,,,,,,
248883.0,황성민,,,,,,,
248886.0,박성훈,,,,,,,
248890.0,김신진,,,,,,,
250036.0,김영권,,,,,,,
250037.0,이규성,,,,,,,
250055.0,황재원,,,,,,,
250056.0,이원우,,,,,,,
250057.0,전용준,,,,,,,
250060.0,오승훈,,,,,,,
250075.0,박재현,,,,,,,
250076.0,홍철,,,,,,,
250079.0,김경민,,,,,,,
250099.0,이준,,,,,,,
250100.0,이상기,,,,,,,
250101.0,정호연,,,,,,,
250102.0,이건희,,,,,,,
250104.0,하승운,,,,,,,
250106.0,박한빈,,,,,,,
250108.0,김승우,,,,,,,
250141.0,이명주,,,,,,,
250145.0,민경현,,,,,,,
250147.0,김성민,,,,,,,
250148.0,홍시후,,,,,,,
250167.0,이창근,,,,,,,
250168.0,김재우,,,,,,,
250172.0,김인균,,,,,,,
250175.0,배서준,,,,,,,
250183.0,레안드로,,,,,,,
250185.0,송창석,,,,,,,
250896.0,윤평국,,,,,,,
250899.0,박찬용,,,,,,,
250901.0,윤민호,,,,,,,
250902.0,정재희,,,,,,,
250903.0,이승환,,,,,,,
250904.0,이규백,,,,,,,
250957.0,김동준,,,,,,,
250959.0,최영준,,,,,,,
250961.0,김주공,,,,,,,
250963.0,한종무,,,,,,,
250965.0,안태현,,,,,,,
252489.0,이승우,,,,,,,
253677.0,엄원상,,,,,,,
259763.0,구자철,,,,,,,
259766.0,박용희,,,,,,,
261824.0,김진규,,,,,,,
286696.0,일류첸코,,,,,,,
287281.0,주세종,,,,,,,
287282.0,이용,,,,,,,
288640.0,갈레고,,,,,,,
289401.0,마틴 아담,,,,,,,
325355.0,박세진,,,,,,,
342719.0,김강산,,,,,,,
342721.0,김영준,,,,,,,
342722.0,바셀루스,,,,,,,
